,site_reference_number,facility_id,hvac_system_id,heating_system_type,heating_system_type_other,primary_heat_fuel,aux_heat,electric_resistance_heat_type,total_hvac_heating_capacity_kbtu,facility_heating_capacity_fraction,facility_heating_capacity_rank,regional_heated_sqft_represented,total_hvac_cooling_capacity_kbtu,facility_cooling_capacity_fraction,facility_cooling_capacity_rank,regional_cooled_sqft_represented,cooling_system_type,cooling_system_type_other,hydronic_heating,hydronic_cooling,hydronic_heating_or_cooling,avg_hours_per_week,airflow_capacity,system_primary_heat,system_primary_cool,primary_ventilation_source,num_identical_units,system_age_years,type_manufacturer,type_model,zone_type,heat_pump_type,component_vent_other,fan_supply_vfd,fan_supply_hp,fan,total_return_exhaust_fan_hp,supply_control_method,ventilation_outside_air,ventilation_exhaust,controls_comm_types,heat_cool_vent,component_heat_exchange,boiler_fuel_type,chiller_type,primary_building_type_facility,detailed_econ,total_building_area,urban_rural,year_constructed,sample_weight_hvac,regional_site_sqft_represented,regional_site_conditioned_sqft_represented
2470,16468,8226,24722,Cabinet-style fan coil unit,,Hot Water from Boiler,,,0.0,0.0,13.0,0.0,0.0,0.184014,4.0,46478.57651,Cabinet-style fan coil unit,,0,0,0,168.0,0.0,Primary,Primary,0,1.0,39.0,Carrier,Airstream 42V,Single Zone,,,0.0,0.33,"Condenser,Supply",0.0,None,,,,"C,HT",,Unknown,Compressor-Centrifugal,Hospital,Hospital  - Hospital,160000,Urban,1968,13.0,252581.7411,252581.7411
2471,16468,8226,24723,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,AHU with hydronic coil,,0,0,1,168.0,0.0,,Primary,0,1.0,0.0,Energy Labs,,Multizone,,,1.0,50.0,"Exhaust,Supply",15.0,VAV w/ unknown reheat,Economizer/Motorized louvers,Motorized louvers,,"C,V",,Not Applicable,Not Applicable,Hospital,Hospital  - Hospital,160000,Urban,1968,1.0,252581.7411,252581.7411
2472,16468,8226,24724,AHU with hydronic cooling and heating,,Hot Water from Boiler,,,0.0,0.889935,1.0,224781.3318,0.0,0.184014,2.0,46478.57651,AHU with hydronic cooling and heating,,1,1,1,168.0,0.0,Primary,Primary,0,1.0,22.0,Energy Labs,C114104-FC-L,Multizone,,,1.0,50.0,"Return,Supply",30.0,VAV w/ unknown reheat,Economizer/Motorized louvers,Motorized louvers,,"C,HT,V",,Natural Gas,Compressor-Centrifugal,Hospital,Hospital  - Hospital,160000,Urban,1968,1.0,252581.7411,252581.7411
2473,16468,8226,24725,,,,,,0.0,0.0,0.0,0.0,99.6,0.017209000000000002,10.0,4346.679182,Rooftop Unit AC (RTU-AC),,0,0,0,65.0,4000.0,,Primary,0,1.0,19.0,Carrier,50TFF012--601GA,Single Zone,,,0.0,2.0,"Condenser,Supply",0.0,,Louvers (unknown if motorized/economizer),,,"C,V",,Not Applicable,Not Applicable,Hospital,Hospital  - Hospital,160000,Urban,1968,1.0,252581.7411,252581.7411
2474,16468,8226,24726,AHU with hydronic cooling and heating,,Hot Water from Boiler,,,0.0,0.0,9.0,0.0,0.0,0.184014,1.0,46478.57651,AHU with hydronic cooling and heating,,1,1,1,168.0,0.0,Primary,Primary,0,1.0,15.0,Scott Springfield,HQ-230-AHU-18400-H-C,Multizone,,,0.0,25.0,"Return,Supply",5.0,VAV w/ unknown reheat,Economizer/Motorized louvers,Motorized louvers,,"C,HT,V",,Natural Gas,Compressor-Centrifugal,Hospital,Hospital  - Hospital,160000,Urban,1968,1.0,252581.7411,252581.7411
2475,16468,8226,24727,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,AHU with DX coil,,0,0,0,168.0,0.0,,,0,1.0,0.0,Armstrong,CCU12A36A-1,,,,0.0,0.0,"Condenser,Supply",0.0,,,,,C,,Not Applicable,Not Applicable,Hospital,Hospital  - Hospital,160000,Urban,1968,1.0,252581.7411,252581.7411
2476,16468,8226,24728,Rooftop Unit AC (RTU-AC) w/heat,,NG,,,80.0,0.021906000000000002,4.0,5533.05562,36.0,0.006220000000000001,13.0,1571.05843,Rooftop Unit AC (RTU-AC) w/heat,,0,0,0,168.0,1200.0,Primary,Primary,0,1.0,2.0,Trane,YSC036E4RMA1TG0E0A00603000000B0000000000,Single Zone,,,0.0,1.0,"Condenser,Supply",0.0,,Louvers (unknown if motorized/economizer),,,"C,HT,V",,Not Applicable,Not Applicable,Hospital,Hospital  - Hospital,160000,Urban,1968,1.0,252581.7411,252581.7411
2477,11163,8227,24729,Rooftop Unit HP (RTU-HP),,Electricity,,,90.0,1.0,1.0,12877586.27,94.0,0.79661,1.0,10258414.0,Rooftop Unit HP (RTU-HP),,0,0,0,168.0,0.0,Primary,Primary,0,1.0,0.0,Lennox,LHA090...,Single Zone,Rooftop Unit HP (RTU-HP),,0.0,2.0,"Condenser,Supply",0.0,None,Economizer/Motorized louvers,Motorized louvers,,"C,HT,V",,Not Applicable,Not Applicable,Lodging,Lodging - Hotel,75652,Urban,1965,1.0,12877586.27,12877586.27
2478,11163,8227,24730,Other,AHU with DX cooling and electric resistance heat,Electricity,,Electric Resistance Heating,0.0,0.0,2.0,0.0,24.0,0.20338900000000001,2.0,2619159.394,Other,AHU with DX cooling and electric resistance heat,0,0,0,168.0,0.0,Primary,Primary,0,1.0,0.0,Carrier,38TH024300,Single Zone,,,0.0,0.0,"Condenser,Supply",0.0,None,,,,"C,HT",,Not Applicable,Not Applicable,Lodging,Lodging - Hotel,75652,Urban,1965,1.0,12877586.27,12877586.27
2479,11163,8227,24731,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Other,Unknown type of split system,0,0,0,168.0,0.0,,Primary,0,1.0,0.0,Lennox,,Single Zone,,,0.0,0.0,"Condenser,Return,Supply",0.0,None,,,,C,,Not Applicable,Not Applicable,Lodging,Lodging - Hotel,75652,Urban,1965,1.0,12877586.27,12877586.27
